channel,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast,kA,kca3,kfasttab,kslowtab,lcafixed,nafast
scale,0.01,0.01,0.01,0.01,0.01,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,1.5,1.5,1.5,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
lambda,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
0,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000
1,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000
2,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000
3,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000
4,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000
5,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000
6,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,   0.000
7,  -0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,   0.000,  -0.000,  -0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,   0.000,   0.000,   0.000,  -0.000,   0.000,  -0.000,  -0.000,   0.000,  -0.000,   0.000,  -0.000
