	channel	scale	nafast	kca3	kfasttab	kslowtab	kA	lcafixed
nafast_3	nafast	3	0.4596	0.0142	0.1956	0.0028	0.00587	0.004
nafast_2.0	nafast	2.0	0.3064	0.0142	0.1956	0.0028	0.00587	0.004
nafast_1.5	nafast	1.5	0.2298	0.0142	0.1956	0.0028	0.00587	0.004
nafast_1.2	nafast	1.2	0.18384	0.0142	0.1956	0.0028	0.00587	0.004
nafast_1	nafast	1	0.1532	0.0142	0.1956	0.0028	0.00587	0.004
nafast_0.8	nafast	0.8	0.12256	0.0142	0.1956	0.0028	0.00587	0.004
nafast_0.5	nafast	0.5	0.0766	0.0142	0.1956	0.0028	0.00587	0.004
nafast_0.2	nafast	0.2	0.03064	0.0142	0.1956	0.0028	0.00587	0.004
nafast_0.05	nafast	0.05	0.00766	0.0142	0.1956	0.0028	0.00587	0.004
nafast_0.01	nafast	0.01	0.0015320000000000002	0.0142	0.1956	0.0028	0.00587	0.004
kca3_3	kca3	3	0.1532	0.0426	0.1956	0.0028	0.00587	0.004
kca3_2.0	kca3	2.0	0.1532	0.0284	0.1956	0.0028	0.00587	0.004
kca3_1.5	kca3	1.5	0.1532	0.0213	0.1956	0.0028	0.00587	0.004
kca3_1.2	kca3	1.2	0.1532	0.01704	0.1956	0.0028	0.00587	0.004
kca3_1	kca3	1	0.1532	0.0142	0.1956	0.0028	0.00587	0.004
kca3_0.8	kca3	0.8	0.1532	0.011360000000000002	0.1956	0.0028	0.00587	0.004
kca3_0.5	kca3	0.5	0.1532	0.0071	0.1956	0.0028	0.00587	0.004
kca3_0.2	kca3	0.2	0.1532	0.0028400000000000005	0.1956	0.0028	0.00587	0.004
kca3_0.05	kca3	0.05	0.1532	0.0007100000000000001	0.1956	0.0028	0.00587	0.004
kca3_0.01	kca3	0.01	0.1532	0.000142	0.1956	0.0028	0.00587	0.004
kfasttab_3	kfasttab	3	0.1532	0.0142	0.5868	0.0028	0.00587	0.004
kfasttab_2.0	kfasttab	2.0	0.1532	0.0142	0.3912	0.0028	0.00587	0.004
kfasttab_1.5	kfasttab	1.5	0.1532	0.0142	0.2934	0.0028	0.00587	0.004
kfasttab_1.2	kfasttab	1.2	0.1532	0.0142	0.23471999999999998	0.0028	0.00587	0.004
kfasttab_1	kfasttab	1	0.1532	0.0142	0.1956	0.0028	0.00587	0.004
kfasttab_0.8	kfasttab	0.8	0.1532	0.0142	0.15648	0.0028	0.00587	0.004
kfasttab_0.5	kfasttab	0.5	0.1532	0.0142	0.0978	0.0028	0.00587	0.004
kfasttab_0.2	kfasttab	0.2	0.1532	0.0142	0.03912	0.0028	0.00587	0.004
kfasttab_0.05	kfasttab	0.05	0.1532	0.0142	0.00978	0.0028	0.00587	0.004
kfasttab_0.01	kfasttab	0.01	0.1532	0.0142	0.001956	0.0028	0.00587	0.004
