Channel,Scale,0
kslowtab,0.01,-42.081
kslowtab,0.05,-42.218
kslowtab,0.2,-41.224
kslowtab,0.5,-37.876999999999995
kslowtab,0.8,-40.133
kslowtab,1,-40.243
kslowtab,1.2,-41.136
kslowtab,1.5,-41.658
kslowtab,2.0,-42.034
kslowtab,3,-42.723
kA,0.01,-29.03
kA,0.05,-29.346999999999998
kA,0.2,-36.363
kA,0.5,-40.765
kA,0.8,-41.757
kA,1,-40.243
kA,1.2,-44.378
kA,1.5,-43.805
kA,2.0,-49.849
kA,3,-59.336999999999996
lcafixed,0.01,-68.245
lcafixed,0.05,-70.75399999999999
lcafixed,0.2,-71.09899999999999
lcafixed,0.5,-59.534
lcafixed,0.8,-50.85
lcafixed,1,-40.243
lcafixed,1.2,-7.0773
lcafixed,1.5,-0.48078999999999994
lcafixed,2.0,-5.7934
lcafixed,3,-13.829
kca3,0.01,-46.178000000000004
kca3,0.05,-41.118
kca3,0.2,-37.759
kca3,0.5,-33.927
kca3,0.8,-38.748000000000005
kca3,1,-40.243
kca3,1.2,-43.938
kca3,1.5,-45.006
kca3,2.0,-55.977
kca3,3,-64.124
kfasttab,0.01,
kfasttab,0.05,
kfasttab,0.2,1835.5
kfasttab,0.5,-0.22658000000000003
kfasttab,0.8,-35.614000000000004
kfasttab,1,-40.243
kfasttab,1.2,-46.042
kfasttab,1.5,-53.352
kfasttab,2.0,-49.321999999999996
kfasttab,3,-55.157
nafast,0.01,
nafast,0.05,
nafast,0.2,3.9029
nafast,0.5,-32.207
nafast,0.8,-39.116
nafast,1,-40.243
nafast,1.2,-42.078
nafast,1.5,-27.636
nafast,2.0,-3.7658
nafast,3,-6.1017
