Channel,Scale,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
kslowtab,0.01,-33.635999999999996,-492.13,-821.64,-963.37,-944.99,-816.81,-628.42,-435.6,-276.89,-160.27,-87.071,-54.534,-50.838,-49.001999999999995,-46.977,-44.882,-42.813,-40.843,-39.027,-37.400999999999996,-35.909,-34.363,-32.797,-31.249000000000002,-29.748,-28.319000000000003,-26.982,-25.752,-24.638,-23.647,-22.783,-22.046999999999997,-21.36,-20.638,-19.891,-19.129,-18.362000000000002,-17.597,-16.842,-16.102,-15.383,-14.69,-14.026,-13.394,-12.797,-12.237,-11.716,-11.235,-10.794,-10.388,-9.981,-9.5703,-9.1579,-8.7462,-8.337,-7.9323,-7.5337,-7.1426,-6.7604,-6.3883,-6.0274,-5.6785,-5.3425,-5.0201,-4.7117,-4.418,-4.1392,-3.8757,-3.6277,-3.3953,-3.1787,-2.9778,-2.7926,-2.6231,-2.4691,-2.3279,-2.1881,-2.049,-1.9107,-1.7737,-1.6381,-1.5042,-1.3724,-1.2427,-1.1154,-0.99074,-0.8688299999999999,-0.74985,-0.63394,-0.5212100000000001,-0.41179,-0.30577,-0.20324,-0.10428,-0.0089432,0.082707,0.17063,0.25479,0.33516,0.41173000000000004,0.48448,0.5534100000000001,0.61854,0.67985,0.73739,0.7911600000000001,0.84119,0.8875200000000001,0.9301799999999999,0.96921,1.0047,1.0366,1.065,1.09,1.1128,1.1340000000000001,1.1538,1.1721,1.1889,1.2043,1.2183,1.2309,1.242,1.2519,1.2603,1.2675,1.2733,1.2779,1.2813,1.2834,1.2843,1.284,1.2826,1.2801,1.2764,1.2717,1.266,1.2592,1.2515,1.2428,1.2332,1.2226,1.2112,1.1989,1.1858,1.1719,1.1572,1.1418,1.1257,1.1088,1.0913,1.0731,1.0544,1.035,1.015,0.9945200000000001,0.97349,0.95196,0.92996,0.90749,0.8846,0.86129,0.83759,0.81352,0.7891,0.76436,0.7393,0.71396,0.68835,0.6625,0.63641,0.61035,0.5845899999999999,0.55913,0.53397,0.5091399999999999,0.48463,0.46045,0.43661000000000005,0.41312,0.38998,0.3672,0.34478000000000003,0.32272,0.30104000000000003,0.27974,0.25881,0.23826999999999998,0.21811999999999998,0.19835999999999998,0.17899,0.16000999999999999,0.14144,0.12327,0.10549000000000001,0.088123,0.071159,0.0546,0.038447,0.022702
kslowtab,0.05,-33.832,-782.21,-1320.4,-1551.7,-1519.9,-1307.7,-996.84,-679.24,-418.32,-227.07,-107.55,-55.105,-50.224,-48.58,-46.715,-44.746,-42.769,-40.859,-39.071,-37.446,-35.934,-34.364000000000004,-32.769,-31.189,-29.655,-28.191999999999997,-26.820999999999998,-25.557,-24.41,-23.388,-22.494,-21.73,-21.017,-20.27,-19.502,-18.72,-17.936,-17.156,-16.387,-15.637,-14.909,-14.209000000000001,-13.54,-12.905999999999999,-12.308,-11.749,-11.23,-10.753,-10.317,-9.9172,-9.5182,-9.1163,-8.7137,-8.3126,-7.9149,-7.5223,-7.1365,-6.7586,-6.3902,-6.0322,-5.6856,-5.3513,-5.03,-4.7224,-4.4289,-4.1499,-3.8859,-3.637,-3.4035,-3.1854,-2.9828,-2.7957,-2.6239999999999997,-2.4677,-2.3264,-2.1976,-2.07,-1.9426,-1.8157,-1.6895,-1.5644,-1.4407,-1.3184,-1.198,-1.0795,-0.96311,-0.84908,-0.73751,-0.62856,-0.52235,-0.419,-0.3186,-0.22125,-0.12703,-0.036002,0.051767999999999995,0.13623,0.21735,0.29508,0.36941,0.44032,0.50779,0.57182,0.63242,0.6895899999999999,0.74334,0.7937,0.8406799999999999,0.88431,0.9246200000000001,0.96165,0.99544,1.026,1.0535,1.0787,1.1025,1.1247,1.1454,1.1646,1.1823,1.1986,1.2135,1.2269,1.2389,1.2495,1.2587,1.2666,1.2732,1.2785,1.2825,1.2853,1.2868,1.2872,1.2863,1.2844,1.2813,1.2771,1.2719,1.2656,1.2583,1.25,1.2407,1.2305,1.2194,1.2075,1.1947,1.181,1.1666,1.1513,1.1354,1.1187,1.1013,1.0833,1.0646,1.0452,1.0253,1.0048,0.9837799999999999,0.9622200000000001,0.94015,0.9176,0.8946,0.87116,0.84731,0.8230700000000001,0.7984600000000001,0.77349,0.74821,0.7226100000000001,0.69672,0.67056,0.64442,0.61855,0.59299,0.56772,0.54277,0.5181399999999999,0.49383,0.46985,0.44622,0.42293000000000003,0.39999,0.37740999999999997,0.35519,0.33334,0.31185999999999997,0.29075,0.27003,0.24968,0.22973000000000002,0.21015999999999999,0.19099000000000002,0.17221,0.15382,0.13584000000000002,0.11825,0.10107000000000001,0.08428300000000001,0.067905,0.05193
kslowtab,0.2,-33.691,-567.52,-951.53,-1116.9,-1095.2,-945.22,-724.95,-499.57,-314.14,-177.97,-92.594,-54.758,-50.65,-48.772,-46.71,-44.583999999999996,-42.49100000000001,-40.504,-38.677,-37.047,-35.552,-33.996,-32.413000000000004,-30.840999999999998,-29.311999999999998,-27.853,-26.482,-25.215999999999998,-24.065,-23.035999999999998,-22.135,-21.362,-20.642,-19.893,-19.125999999999998,-18.35,-17.575,-16.808,-16.055,-15.323,-14.616,-13.939,-13.294,-12.686,-12.115,-11.583,-11.093,-10.644,-10.237,-9.866,-9.494,-9.1171,-8.7377,-8.3578,-7.9793,-7.604,-7.2334,-6.8689,-6.5119,-6.1635,-5.8248,-5.4965,-5.1796,-4.8747,-4.5823,-4.303,-4.0371,-3.7851,-3.5469999999999997,-3.3232,-3.1136,-2.9184,-2.7377,-2.5712,-2.419,-2.2785,-2.1397,-2.0015,-1.8644,-1.7285,-1.5943,-1.4619,-1.3316,-1.2036,-1.078,-0.95519,-0.83519,-0.71818,-0.6043,-0.49367,-0.3864,-0.28257,-0.18227000000000002,-0.085579,0.0074551,0.09677999999999999,0.18236,0.26416,0.34215,0.41634,0.4867,0.55325,0.6159899999999999,0.67493,0.73009,0.78151,0.8292,0.87321,0.9135700000000001,0.9503299999999999,0.9835299999999999,1.0132,1.0395,1.0623,1.083,1.1022,1.1201,1.1365,1.1516,1.1653,1.1776,1.1887,1.1984,1.2068,1.214,1.22,1.2247,1.2282,1.2306,1.2318,1.2319,1.2309,1.2288,1.2257,1.2215,1.2164,1.2103,1.2032,1.1952,1.1863,1.1766,1.166,1.1546,1.1424,1.1294,1.1157,1.1013,1.0861,1.0704,1.0539,1.0369,1.0192,1.001,0.9822299999999999,0.96293,0.9431299999999999,0.92285,0.9021100000000001,0.88094,0.85935,0.83736,0.815,0.7922899999999999,0.7692399999999999,0.74588,0.72222,0.69829,0.6741,0.64967,0.6250100000000001,0.60016,0.57534,0.55081,0.52656,0.50261,0.47896000000000005,0.45563000000000003,0.43261000000000005,0.40992,0.38756,0.36553,0.34385,0.32250999999999996,0.30151999999999995,0.28089000000000003,0.26061999999999996,0.24070999999999998,0.22116999999999998,0.20199999999999999,0.1832,0.16477999999999998,0.14673,0.12907000000000002,0.11179000000000001,0.094887,0.078374,0.062247000000000004,0.046507,0.031155000000000002,0.016191999999999998
kslowtab,0.5,-33.497,-183.97,-291.73,-338.14,-333.77,-294.47,-235.78,-175.18,-124.82,-87.351,-63.326,-51.99100000000001,-49.653,-47.707,-45.592,-43.428999999999995,-41.312,-39.315,-37.49,-35.871,-34.396,-32.866,-31.311999999999998,-29.773000000000003,-28.279,-26.855,-25.521,-24.291,-23.175,-22.18,-21.311,-20.569000000000003,-19.879,-19.164,-18.434,-17.698,-16.964000000000002,-16.239,-15.529000000000002,-14.839,-14.175,-13.54,-12.936,-12.368,-11.835999999999999,-11.342,-10.887,-10.472000000000001,-10.097000000000001,-9.7562,-9.4136,-9.0654,-8.7139,-8.3608,-8.0082,-7.6576,-7.3105,-6.9684,-6.6325,-6.3039,-5.9837,-5.6726,-5.3716,-5.0812,-4.802,-4.5346,-4.2793,-4.0366,-3.8066,-3.5895,-3.3856,-3.1949,-3.0175,-2.8532,-2.7022,-2.5621,-2.4238,-2.2865,-2.1507,-2.0164,-1.8840000000000001,-1.7538,-1.6259,-1.5005,-1.3779,-1.2582,-1.1416,-1.0281,-0.91796,-0.81123,-0.70802,-0.6084,-0.51244,-0.42021000000000003,-0.33175,-0.2471,-0.16629000000000002,-0.08933300000000001,-0.016245,0.052971000000000004,0.11832000000000001,0.17981,0.23746,0.29128000000000004,0.34131999999999996,0.3876,0.43016000000000004,0.46903999999999996,0.5042800000000001,0.53594,0.56407,0.58873,0.60997,0.6278600000000001,0.64382,0.65875,0.67267,0.68558,0.6974899999999999,0.70841,0.71836,0.72734,0.73537,0.74247,0.74865,0.75392,0.7583,0.7618,0.76445,0.76625,0.76723,0.76741,0.76679,0.7654,0.76325,0.76037,0.75678,0.75248,0.7475,0.74185,0.73557,0.72865,0.72113,0.71301,0.70433,0.69508,0.6853100000000001,0.67501,0.6642100000000001,0.65293,0.64118,0.6289899999999999,0.61636,0.60332,0.58987,0.57605,0.56186,0.54732,0.5324399999999999,0.51725,0.50175,0.48596000000000006,0.4699,0.45358000000000004,0.43701,0.42022,0.4032,0.38599,0.36858,0.35099,0.33324000000000004,0.31551999999999997,0.29803,0.28076999999999996,0.26374000000000003,0.24695,0.23041,0.21411,0.19807,0.18229,0.16677,0.15150999999999998,0.13652,0.1218,0.10735,0.093177,0.07928400000000001,0.06567,0.052337,0.039288,0.026524000000000002,0.014046000000000001,0.0018554,-0.010047,-0.021661,-0.032986,-0.04402,-0.054765,-0.065219,-0.075383
kslowtab,0.8,-33.801,-47.118,-55.981,-59.808,-61.875,-62.57899999999999,-62.168,-60.97,-59.298,-57.412,-55.51,-53.731,-52.035,-50.067,-47.931000000000004,-45.751000000000005,-43.621,-41.613,-39.781,-38.158,-36.679,-35.137,-33.563,-31.998,-30.473000000000003,-29.014,-27.641,-26.371,-25.214000000000002,-24.178,-23.267,-22.484,-21.750999999999998,-20.986,-20.199,-19.402,-18.602999999999998,-17.811,-17.031,-16.271,-15.535,-14.829,-14.155,-13.517000000000001,-12.917,-12.357000000000001,-11.838,-11.362,-10.929,-10.533,-10.137,-9.7372,-9.3366,-8.9371,-8.5405,-8.1486,-7.7629,-7.3849,-7.0159,-6.657,-6.3092,-5.9734,-5.6502,-5.3404,-5.0445,-4.763,-4.4961,-4.2442,-4.0074,-3.7859,-3.5798,-3.389,-3.2135,-3.0533,-2.9081,-2.7752,-2.6435,-2.5118,-2.3806,-2.2502,-2.1208,-1.9927,-1.8662,-1.7414,-1.6185,-1.4979,-1.3796,-1.2638,-1.1507,-1.0403,-0.9329,-0.82849,-0.7272,-0.6291100000000001,-0.5343,-0.44282,-0.35474,-0.27009,-0.18892,-0.11125,-0.037098,0.033518,0.1006,0.16413,0.22413000000000002,0.28062,0.33359,0.38309,0.42912,0.47173999999999994,0.5109600000000001,0.54682,0.57938,0.60868,0.63588,0.66172,0.6862199999999999,0.70937,0.73118,0.75166,0.77083,0.78868,0.80524,0.8205100000000001,0.83452,0.8472700000000001,0.8587799999999999,0.8690700000000001,0.87815,0.88605,0.89279,0.89838,0.90284,0.9061899999999999,0.90846,0.90966,0.9098299999999999,0.9089700000000001,0.9071100000000001,0.90428,0.90049,0.8957799999999999,0.89015,0.88364,0.87626,0.86805,0.8590200000000001,0.84919,0.83859,0.82725,0.81517,0.8024,0.78894,0.77482,0.7600600000000001,0.74469,0.72872,0.71218,0.69509,0.6774600000000001,0.65933,0.6407,0.62161,0.60206,0.58208,0.5617,0.54091,0.51976,0.49825,0.47641000000000006,0.45424,0.43206000000000006,0.41013999999999995,0.38850999999999997,0.36716,0.3461,0.32534,0.30488000000000004,0.28473000000000004,0.2649,0.24538000000000001,0.22619,0.20731999999999998,0.18879,0.17059000000000002,0.15273,0.13521,0.11803,0.1012,0.084713,0.068579,0.052797000000000004,0.037369,0.022296,0.0075783000000000005,-0.0067824,-0.020786000000000002,-0.034431,-0.047718,-0.060646000000000005
kslowtab,1,-34.08,-373.39,-616.49,-720.56,-707.0,-612.89,-474.6,-333.09,-216.66,-131.13,-77.48899999999999,-53.696999999999996,-51.034,-49.581,-47.854,-45.97,-44.031000000000006,-42.114,-40.283,-38.584,-36.976,-35.306999999999995,-33.613,-31.936,-30.308000000000003,-28.756999999999998,-27.305,-25.965999999999998,-24.752,-23.671,-22.726999999999997,-21.921,-21.171,-20.391,-19.592,-18.783,-17.974,-17.173,-16.387,-15.620999999999999,-14.882,-14.173,-13.499,-12.860999999999999,-12.263,-11.705,-11.190999999999999,-10.719000000000001,-10.292,-9.9014,-9.5121,-9.1198,-8.7266,-8.3346,-7.9457,-7.5617,-7.184,-6.814,-6.452999999999999,-6.1021,-5.7622,-5.4342,-5.1187,-4.8166,-4.5281,-4.2538,-3.9939999999999998,-3.7489,-3.5188,-3.3037,-3.1037,-2.9188,-2.7489999999999997,-2.5941,-2.454,-2.3262,-2.2004,-2.0756,-1.9522,-1.8303,-1.7103,-1.5923,-1.4765,-1.3631,-1.2523,-1.1442,-1.0390000000000001,-0.93675,-0.8375600000000001,-0.74155,-0.64879,-0.55935,-0.47329,-0.39066999999999996,-0.31151,-0.23586,-0.16374,-0.095152,-0.030113,0.031377999999999996,0.08932799999999999,0.14375,0.19466,0.24208000000000002,0.28604,0.32658000000000004,0.36372,0.39751,0.428,0.45523,0.47923999999999994,0.5001,0.51786,0.53259,0.54556,0.5576,0.5687300000000001,0.57896,0.58828,0.59672,0.60429,0.611,0.6168600000000001,0.62188,0.6260899999999999,0.6295,0.6321100000000001,0.63395,0.63503,0.6353800000000001,0.6349899999999999,0.63389,0.6321100000000001,0.62964,0.62651,0.62275,0.61835,0.61335,0.60775,0.60158,0.59486,0.58759,0.5797899999999999,0.5714899999999999,0.5626899999999999,0.55342,0.54369,0.53352,0.52293,0.5119199999999999,0.50052,0.48873,0.47658999999999996,0.46408999999999995,0.45126000000000005,0.43812,0.42466000000000004,0.41092,0.3969,0.38261999999999996,0.3681,0.35333000000000003,0.33835,0.32315,0.30776,0.29219,0.27644,0.26054,0.24448000000000003,0.22829000000000002,0.21198000000000003,0.19572,0.17969000000000002,0.1639,0.14834,0.13302999999999998,0.11796,0.10315,0.088588,0.074284,0.060239999999999995,0.046459,0.032943,0.019694999999999997,0.0067161,-0.005991399999999999,-0.018425999999999998,-0.030586000000000002,-0.04247,-0.054077999999999994,-0.06540800000000001,-0.076459,-0.08723099999999999,-0.097724,-0.10794000000000001,-0.11787,-0.12752,-0.1369,-0.14599,-0.15481
kslowtab,1.2,-34.473,-143.07,-219.93,-252.46,-249.46,-222.13,-181.27,-139.1,-104.09,-78.067,-61.415,-53.599,-52.004,-50.507,-48.74100000000001,-46.827,-44.863,-42.928999999999995,-41.088,-39.384,-37.773,-36.086999999999996,-34.364000000000004,-32.648,-30.974,-29.37,-27.86,-26.46,-25.183000000000003,-24.038,-23.029,-22.16,-21.349,-20.51,-19.654,-18.793,-17.935,-17.088,-16.261,-15.458,-14.686,-13.948,-13.248,-12.59,-11.975,-11.404000000000002,-10.88,-10.402999999999999,-9.9724,-9.5826,-9.1948,-8.8047,-8.4145,-8.0262,-7.6416,-7.2624,-6.89,-6.5259,-6.1712,-5.8269,-5.494,-5.1733,-4.8654,-4.5709,-4.2904,-4.0241,-3.7724,-3.5356,-3.3137,-3.1069999999999998,-2.9153,-2.7386,-2.577,-2.4302,-2.2982,-2.1782,-2.0599,-1.9422,-1.8254,-1.7098,-1.5956,-1.4831,-1.3723,-1.2636,-1.157,-1.0528,-0.95096,-0.85175,-0.75525,-0.6615300000000001,-0.57071,-0.48285,-0.39803,-0.3163,-0.23771,-0.1623,-0.09009500000000001,-0.021131,0.044581,0.10703,0.16621,0.22214,0.2748,0.32423,0.37043000000000004,0.41343,0.45326000000000005,0.48994,0.52352,0.55403,0.5815100000000001,0.606,0.62755,0.64622,0.6631199999999999,0.67897,0.69377,0.7075199999999999,0.72025,0.73197,0.7426699999999999,0.75238,0.76112,0.76888,0.7757,0.78157,0.7865300000000001,0.7905800000000001,0.79374,0.79603,0.7974600000000001,0.79806,0.79784,0.79682,0.79502,0.79245,0.78913,0.78509,0.7803399999999999,0.77489,0.76878,0.7620100000000001,0.75461,0.74659,0.73798,0.72878,0.7190300000000001,0.70873,0.69791,0.6865899999999999,0.67477,0.6624899999999999,0.64975,0.63657,0.62298,0.60898,0.5946,0.57985,0.56475,0.5493100000000001,0.53355,0.51748,0.50113,0.48449,0.4676,0.45046,0.43309,0.4155,0.39771,0.37973,0.36157,0.34344,0.32553000000000004,0.30785,0.2904,0.2732,0.25624,0.23953000000000002,0.22308000000000003,0.20689000000000002,0.19096,0.17529,0.15989,0.14477,0.12992,0.11535,0.10107000000000001,0.08705800000000001,0.073336,0.0599,0.046752999999999996,0.033894,0.021325999999999998,0.009049799999999998,-0.0029341,-0.014625,-0.026022000000000003,-0.037125,-0.047934,-0.058449
kslowtab,1.5,-35.336999999999996,-39.919000000000004,-42.648999999999994,-44.001999999999995,-46.773999999999994,-50.312,-53.846000000000004,-56.593,-58.108000000000004,-58.507,-57.975,-56.725,-54.955,-52.832,-50.516000000000005,-48.141999999999996,-45.81399999999999,-43.613,-41.597,-39.806999999999995,-38.17,-36.465,-34.73,-33.006,-31.328000000000003,-29.725,-28.218000000000004,-26.826,-25.56,-24.427,-23.434,-22.581999999999997,-21.788,-20.965,-20.124000000000002,-19.276,-18.43,-17.595,-16.777,-15.982000000000001,-15.217,-14.485,-13.79,-13.135,-12.520999999999999,-11.952,-11.427999999999999,-10.95,-10.517999999999999,-10.125,-9.7328,-9.3368,-8.9394,-8.5427,-8.1484,-7.7586,-7.3746,-6.997999999999999,-6.63,-6.2718,-5.9244,-5.5886,-5.2653,-4.9551,-4.6585,-4.3759,-4.1079,-3.8546,-3.6162,-3.3929,-3.1848,-2.9919,-2.8142,-2.6515,-2.5038,-2.3685,-2.2353,-2.1034,-1.9729,-1.8443,-1.7176,-1.5932,-1.4712,-1.3518,-1.2353,-1.1216,-1.0111,-0.9037799999999999,-0.79976,-0.69915,-0.6020399999999999,-0.50849,-0.41856000000000004,-0.3323,-0.24975999999999998,-0.17096,-0.095914,-0.024647,0.042842,0.10655999999999999,0.1665,0.2227,0.27516,0.32392,0.36901999999999996,0.41047,0.44833999999999996,0.48265,0.51347,0.54083,0.5648,0.58544,0.6028,0.6169600000000001,0.62926,0.64056,0.65088,0.6602399999999999,0.66864,0.6761,0.6826300000000001,0.68824,0.69296,0.69681,0.6997800000000001,0.70191,0.70321,0.7037,0.7034,0.70231,0.70047,0.69789,0.6945899999999999,0.6905899999999999,0.6859,0.68055,0.67455,0.66793,0.66069,0.65287,0.64447,0.63552,0.6260399999999999,0.61603,0.60553,0.59455,0.58311,0.57122,0.5589,0.5461699999999999,0.53305,0.51955,0.50568,0.49148000000000003,0.47694,0.4621,0.44695,0.43151999999999996,0.41583000000000003,0.39988,0.3837,0.36729,0.35068,0.33387,0.31687,0.29971,0.28239000000000003,0.26493,0.24734,0.22962,0.2118,0.19405999999999998,0.17657,0.15935,0.14239000000000002,0.1257,0.10928,0.09314299999999999,0.07728600000000001,0.061714,0.046431,0.031438,0.016738999999999997,0.0023359,-0.011769,-0.025574,-0.039077999999999995,-0.052278,-0.065174,-0.077765,-0.090049,-0.10203,-0.11369000000000001,-0.12506,-0.13610999999999998,-0.14685,-0.15729,-0.16742,-0.17724,-0.18675
kslowtab,2.0,-34.268,-41.973,-46.144,-47.428000000000004,-49.262,-51.443999999999996,-53.533,-55.1,-55.912,-56.052,-55.641000000000005,-54.81,-53.63399999999999,-52.068000000000005,-50.236999999999995,-48.263999999999996,-46.25,-44.276,-42.403,-40.676,-39.056,-37.385,-35.701,-34.042,-32.441,-30.923000000000002,-29.508000000000003,-28.212,-27.044,-26.01,-25.115,-24.358,-23.654,-22.912,-22.143,-21.358,-20.566,-19.774,-18.992,-18.224,-17.477,-16.755,-16.063,-15.404000000000002,-14.78,-14.194,-13.647,-13.140999999999998,-12.677,-12.248,-11.817,-11.38,-10.94,-10.498,-10.059,-9.6224,-9.1914,-8.7673,-8.3517,-7.9459,-7.5511,-7.1683,-6.7986,-6.4427,-6.1012,-5.7748,-5.4639,-5.169,-4.8903,-4.6279,-4.3822,-4.1531,-3.9407,-3.7449,-3.5656,-3.4,-3.2365,-3.0741,-2.9132,-2.7541,-2.5971,-2.4424,-2.2905,-2.1414,-1.9955,-1.8530000000000002,-1.7139,-1.5786,-1.4469999999999998,-1.3195,-1.196,-1.0767,-0.96173,-0.85108,-0.7448199999999999,-0.64303,-0.54573,-0.45295,-0.36472,-0.28103,-0.20189000000000001,-0.12729000000000001,-0.05720700000000001,0.008372200000000002,0.069482,0.12616,0.17844000000000002,0.22638000000000003,0.27002,0.30942,0.34464,0.37575,0.40281,0.42591,0.44669,0.46621,0.48449,0.50154,0.51736,0.5319699999999999,0.54538,0.55761,0.56867,0.57857,0.58734,0.5949800000000001,0.60153,0.6069899999999999,0.61139,0.61475,0.6170800000000001,0.61841,0.61875,0.6181300000000001,0.61658,0.6141,0.61073,0.60648,0.60138,0.59545,0.5887,0.58117,0.5728800000000001,0.56384,0.55407,0.54361,0.53247,0.52068,0.50825,0.4952,0.48156000000000004,0.46735,0.45258999999999994,0.4373,0.42149,0.4052,0.38844,0.37122,0.35357,0.33552,0.31706,0.29823,0.27905,0.25952,0.23967,0.21952,0.19908,0.17837,0.15741,0.13621,0.11478,0.09342,0.072403,0.051735,0.031422000000000005,0.011468,-0.008123,-0.027346,-0.046198,-0.064676,-0.082776,-0.1005,-0.11782999999999999,-0.13477999999999998,-0.15135,-0.16752,-0.18331,-0.1987,-0.21370999999999998,-0.22832,-0.24253000000000002,-0.25635,-0.26978,-0.28281999999999996,-0.29546,-0.30771,-0.31956999999999997,-0.33103,-0.34210999999999997,-0.3528
kslowtab,3,-39.076,-40.015,-41.163999999999994,-42.873000000000005,-47.629,-53.96,-60.438,-65.6,-68.604,-69.617,-68.949,-66.958,-64.085,-60.911,-57.663999999999994,-54.504,-51.547,-48.875,-46.542,-44.57899999999999,-42.873999999999995,-41.122,-39.355,-37.613,-35.931,-34.336,-32.849000000000004,-31.485,-30.256,-29.166999999999998,-28.223000000000003,-27.424,-26.679000000000002,-25.886999999999997,-25.061,-24.214000000000002,-23.355,-22.494,-21.639,-20.798000000000002,-19.976,-19.179000000000002,-18.410999999999998,-17.678,-16.980999999999998,-16.324,-15.708,-15.136,-14.607999999999999,-14.118,-13.627,-13.130999999999998,-12.634,-12.138,-11.645,-11.158,-10.679,-10.209,-9.7492,-9.3023,-8.869,-8.4504,-8.0474,-7.6609,-7.2915,-6.9398,-6.6062,-6.2911,-5.9948,-5.7174,-5.459,-5.2196,-4.9992,-4.7977,-4.6149,-4.4474,-4.2816,-4.1162,-3.9517,-3.7884,-3.6267,-3.4669,-3.3092,-3.1541,-3.0016,-2.8521,-2.7057,-2.5627,-2.4231,-2.2873,-2.1553,-2.0272,-1.9032,-1.7833,-1.6677,-1.5564,-1.4494,-1.3469,-1.2487,-1.1551,-1.0659999999999998,-0.98131,-0.90115,-0.82549,-0.7543,-0.68757,-0.62526,-0.56734,-0.51377,-0.46451000000000003,-0.41951000000000005,-0.37872,-0.34207,-0.3095,-0.27912,-0.24971999999999997,-0.22133000000000003,-0.19394,-0.16757,-0.14222,-0.11788,-0.094571,-0.072283,-0.051017,-0.030770999999999996,-0.011542,0.006673899999999999,0.023882,0.040089,0.055302,0.06952799999999999,0.082776,0.09505599999999999,0.10638,0.11675,0.12619,0.1347,0.1423,0.14901,0.15482,0.15977,0.16385,0.16709000000000002,0.16951,0.1711,0.1719,0.17190999999999998,0.17115999999999998,0.16965,0.16741,0.16444,0.16077,0.1564,0.15137,0.14567,0.13934000000000002,0.13238,0.12480999999999999,0.11665,0.10790999999999999,0.098607,0.088761,0.078385,0.067496,0.056108000000000005,0.044238,0.0319,0.01911,0.0058823999999999994,-0.007767100000000001,-0.021824,-0.035954,-0.049832,-0.063455,-0.07681900000000001,-0.089921,-0.10275999999999999,-0.11533,-0.12764,-0.13967000000000002,-0.15144000000000002,-0.16293,-0.17415,-0.18509,-0.19576,-0.20615,-0.21625999999999998,-0.2261,-0.23565999999999998,-0.24494000000000002,-0.25394,-0.26266999999999996,-0.27111999999999997,-0.2793,-0.2872,-0.29481999999999997,-0.30217,-0.30925,-0.31606,-0.3226
